"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
2959,942,1947,"0","0","Farmer",51.61,1952,1952,1959,NA,12,"1","0","1",NA,NA,NA,NA,NA,NA
2850,1004,1944,"0","0","",NA,1949,1949,1959,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2627,683,1935,"0","0","Bank.Manager",71.98,1940,1940,1941,NA,6,"0","1",NA,1,NA,NA,NA,NA,NA
2949,934,1939,"0","0","Customs.Officer",61.5,1951,1951,1951,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA
1669,1004,1902,"0","0","",NA,1909,1909,NA,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
2305,504,1914,"0","0","Coastguard",57.72,1927,1927,1929,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1569,291,1898,"0","0","R.G.A.",57.72,1906,1906,1906,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2215,463,1911,"0","0","Carpenter",50,1923,1923,1925,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1605,1004,1898,"0","0","",NA,1907,1907,1911,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
1674,1004,1901,"0","0","",NA,1909,1909,1909,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2407,573,1926,"0","0","Motor.Engineer",82.83,1930,1930,1941,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1808,1004,1906,"0","0","",NA,1911,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1908,1004,1909,"0","0","",NA,1913,1913,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2894,892,1946,"0","0","Policeman",44.68,1950,1950,1951,NA,5,"0",NA,NA,NA,NA,NA,NA,NA,NA
2903,1004,1946,"0","0","",NA,1950,1950,1950,NA,4,"1",NA,NA,NA,NA,NA,NA,NA,NA
1747,1004,1904,NA,NA,"",NA,NA,1911,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1662,1004,1903,"1","1","",NA,1909,1909,1916,NA,13,"0","1","0",1,NA,NA,NA,NA,NA
2761,800,1940,"1","1","Clerk",58.68,1946,1946,1955,NA,15,"1","0","1",NA,NA,NA,NA,NA,NA
1750,1004,1905,"1","1","",NA,1909,1909,1919,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1252,1004,NA,"1","1","",NA,1892,1892,1893,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2051,1004,1912,"1","1","",NA,1918,1918,1918,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
2016,359,1911,"1","1","R.N.R.",57.72,1916,1916,1918,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
2264,486,1918,"0","0","Seaman",50.99,1925,1925,1932,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2304,1004,1922,"0","0","Widow",NA,1927,1927,1937,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
3016,984,1949,"1","1","Farmer",51.61,1953,1953,1964,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
2572,636,1933,"1","1","Farmer",51.61,1938,1938,1944,NA,11,"0","1",NA,1,NA,NA,NA,NA,NA
2660,669,1936,"0","0","Farmer",51.61,1942,1942,1946,NA,10,"1","0","1",NA,NA,NA,NA,NA,NA
2582,614,1933,"0","0","Labourer",34.52,1939,1939,1947,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
